,Adaptive (EA-ADCF),Static
Mean Block Time,9.734762871364325,0.9327083597370274
Std Block Time,0.9935631311069251,0.6635100824960001
Block Time Error,0.4031993645198023,9.067291640262972
Mean Energy,1.7486262936171068e-05,1.0000000000000004e-06
Std Energy,1.1532429388023078e-05,2.4727876602811993e-22
Mean Throughput,0.10544575968059619,1.7987362214121378
Std Throughput,0.030911848366097006,1.1702668382686083
