,Time,BlockTime_Adaptive,BlockTime_Static,Energy_Adaptive,Energy_Static,Throughput_Adaptive,Throughput_Static
0,0,1.9245158558121336,1.9245158558121336,1.0000000000000002e-06,1.0000000000000002e-06,0.5196112035034424,0.5196112035034424
1,1,9.993416342872473,1.9252175288551368,5.190798542549749e-06,1.0000000000000002e-06,0.1000658799443718,0.5194218237742033
2,2,9.945160736381185,1.9155425669794837,5.191824451107435e-06,1.0000000000000002e-06,0.10055141656401996,0.522045303110568
3,3,9.94991878066634,1.913293950428446,5.200413025106908e-06,1.0000000000000002e-06,0.10050333294610377,0.5226588417195742
4,4,9.958094513260095,1.911978995762895,5.208265642733557e-06,1.0000000000000002e-06,0.10042081832708159,0.5230182979081274
5,5,9.969635877516993,1.9117814285128165,5.214840843637872e-06,1.0000000000000002e-06,0.10030456601280176,0.5230723476469298
6,6,9.993569167802105,1.9146215000778226,5.2196056334872984e-06,1e-06,0.10006434970419391,0.5222964434272537
7,7,9.987590048569059,1.913106664851045,5.220613273722872e-06,1.0000000000000002e-06,0.10012425371256321,0.522710007953404
8,8,10.00319499276497,1.9153817866924459,5.222559315466223e-06,1.0000000000000002e-06,0.09996806027706867,0.5220891244490938
9,9,9.505017728168506,1.8201667045106404,5.2220588941736355e-06,1.0000000000000002e-06,0.10520758914909327,0.5494002266505882
10,10,9.61630827046607,1.8131518758490968,5.303641905873309e-06,1.0000000000000002e-06,0.10399001070621185,0.5515257785736792
11,11,9.792655120453599,1.8245619533252935,5.367126669832355e-06,1e-06,0.10211735098393618,0.5480767579185152
12,12,9.831127111370096,1.8201682279089655,5.401218942638193e-06,1.0000000000000002e-06,0.10171773680389704,0.5493997668274948
13,13,9.889820576653998,1.8216476018154957,5.429052560329219e-06,1.0000000000000002e-06,0.10111406898125222,0.5489535950879726
14,14,9.891979323212059,1.8159758632735732,5.447197577494373e-06,1.0000000000000002e-06,0.1010920026544583,0.5506681119634198
15,15,9.974073540890297,1.825067835269718,5.46504264013632e-06,1.0000000000000002e-06,0.10025993851963708,0.5479248391072624
16,16,9.947870761722442,1.8188548482734872,5.469304365417211e-06,1.0000000000000002e-06,0.10052402408039057,0.5497964837321849
17,17,9.976972294562533,1.8213124972257362,5.477902506988603e-06,1.0000000000000002e-06,0.10023080855351295,0.5490545974527833
18,18,10.002401883271444,1.8246912469060177,5.481695547250371e-06,1.0000000000000002e-06,0.09997598693494349,0.5480379224132409
19,19,10.040750147064713,1.8318189035092833,5.481300650314983e-06,1.0000000000000002e-06,0.09959415236443638,0.5459054921227546
20,20,10.049796252881697,1.835704309803119,5.474626931588753e-06,1.0000000000000002e-06,0.0995045048513554,0.5447500420736339
21,21,10.077711429216928,1.8435437205052345,5.466488978333028e-06,1.0000000000000002e-06,0.09922887820550577,0.5424335690427476
22,22,10.069954466366923,1.846396106600324,5.453842991961363e-06,1.0000000000000002e-06,0.09930531496839864,0.5415955961049168
23,23,10.103904778299341,1.8564901599195485,5.442476882687704e-06,1.0000000000000002e-06,0.09897163739584618,0.5386508485686428
24,24,10.045335760148523,1.8514405527684816,5.425686363587322e-06,1.0000000000000002e-06,0.09954868845371623,0.5401199614563308
25,25,10.038595489356313,1.8527067074991324,5.418340338880115e-06,1.0000000000000002e-06,0.09961552899111001,0.5397508391114131
26,26,9.9466896392371,1.8378645315351054,5.412090754550321e-06,1.0000000000000002e-06,0.10053596083417145,0.5441097441304524
27,27,9.926612779893631,1.831210529221152,5.420792760576582e-06,1.0000000000000002e-06,0.1007392977013772,0.5460868556851945
28,28,9.935113011504551,1.8287226968214805,5.432815499459192e-06,1.0000000000000002e-06,0.10065310770416312,0.5468297636039128
29,29,9.955505010280149,1.8288927912472828,5.443460140433172e-06,1.0000000000000002e-06,0.10044693854981646,0.546778906224466
30,30,9.992436882026903,1.8332194135805528,5.450758816976618e-06,1.0000000000000002e-06,0.1000756884237788,0.5454884410409171
31,31,10.584385096755806,1.9413778248849396,5.451996495006383e-06,1.0000000000000002e-06,0.0944787997468561,0.5150980850722694
32,32,10.338889411936961,1.9282886436362947,5.3616918017212766e-06,1.0000000000000002e-06,0.0967221874764838,0.5185945596372115
33,33,10.230337365240773,1.926991739380559,5.3089679401165285e-06,1.0000000000000002e-06,0.09774848710245489,0.5189435842218271
34,34,10.15566025010433,1.9259343164649616,5.273108310747051e-06,1.0000000000000002e-06,0.09846725622686393,0.5192285071463355
35,35,10.091346366342812,1.922578196424324,5.2488613389619414e-06,1.0000000000000002e-06,0.0990948049643061,0.5201348906691201
36,36,10.095775046587047,1.9286593762420132,5.234607609280719e-06,1.0000000000000002e-06,0.09905133537400455,0.5184948738581806
37,37,10.061384097081879,1.927575324525472,5.219709948071045e-06,1.0000000000000002e-06,0.0993899040480953,0.5187864708976697
38,38,9.43972234702274,1.8117925192965005,5.210156376342741e-06,1.0000000000000002e-06,0.10593531920092937,0.5519395788146256
39,39,9.631231941806563,1.8162101350000583,5.302928199883795e-06,1.0000000000000002e-06,0.10382887734841807,0.5505970816532019
40,40,9.721789000955942,1.8124677872374673,5.363840984878264e-06,1.0000000000000002e-06,0.10286172636555578,0.551733943654901
41,41,9.730375728288209,1.798627105600957,5.409890520379485e-06,1.0000000000000002e-06,0.10277095437258335,0.5559796118305913
42,42,9.837358380226755,1.8034109790462236,5.454862199757414e-06,1.0000000000000002e-06,0.10165330583157524,0.5545047754610397
43,43,9.936481126697185,1.8125921199838975,5.4819178662133085e-06,1.0000000000000002e-06,0.10063924917174304,0.5516960980768711
